learning_rate,iterations,training_mse,test_mse
0.0001,500,1234.0496818420484,1333.7225408110776
0.0001,1000,1028.3678484807795,1121.2599188759662
0.0001,3000,519.9169894016665,591.2039923570244
0.0001,5000,293.07484391551134,349.8275127734995
0.001,500,292.74171566326976,349.4711271522424
0.001,1000,132.6527446558009,170.9608000226619
0.001,3000,103.7902798440478,130.44527895661167
0.001,5000,102.41134659460415,127.99116766863041
0.005,500,104.45948740424004,131.78830191603421
0.005,1000,102.4105618697174,127.9890298970851
0.005,3000,100.66316500923969,125.63694271209711
0.005,5000,100.21989353331374,125.29488685744317
0.01,500,102.40958154733627,127.98636384875468
0.01,1000,101.19968781599472,126.19115787223458
0.01,3000,100.13550675258244,125.24704494588553
0.01,5000,100.04446956077493,125.2261438851358
0.05,500,100.21911558679942,125.29436092178305
0.05,1000,100.04440522322024,125.22618629323725
0.05,3000,100.03589762123036,125.24558846343841
0.05,5000,100.03589758167804,125.24564792194029
