learning_rate,iterations,training_mse,test_mse
0.0001,500,100.37114380264856,125.40609952082237
0.0001,1000,100.06437077585504,125.22649519085573
0.0001,3000,100.03629497662946,125.2473243820639
0.0001,5000,100.03593622969724,125.2480682211942
0.001,500,100.10002153771819,125.51282189449199
0.001,1000,100.18563725320035,125.37517103446962
0.001,3000,100.12500133833932,125.46860976597931
0.001,5000,100.0718788838264,125.34993062839105
0.005,500,100.58802007672347,126.80452800239415
0.005,1000,106.52883661730911,130.8532360120605
0.005,3000,102.26968623532201,127.03891662171618
0.005,5000,101.39530466663857,126.50825406456283
0.01,500,101.24762227857363,127.58336251267947
0.01,1000,115.15674334652675,137.95423959512158
0.01,3000,104.53193187877763,128.255977240547
0.01,5000,103.42114458554869,127.59612128711424
